station_code,station,line_code,line_name,latitude,longitude
BR01,Taipei Zoo,BR,Brown Line,24.998197,121.579338
BR02,Muzha,BR,Brown Line,24.998241,121.573145
BR03,Wanfang Community,BR,Brown Line,24.998585,121.568102
BR04,Wanfang Hospital,BR,Brown Line,24.999386,121.558152
BR05,Xinhai,BR,Brown Line,25.005475,121.557107
BR06,Linguang,BR,Brown Line,25.018535,121.558791
BR07,Liuzhangli,BR,Brown Line,25.023777,121.553115
BR08,Technology Building,BR,Brown Line,25.026125,121.543437
BR09,Daan,BR,Brown Line,25.032943,121.543551
BR10,Zhongxiao Fuxing,BR,Brown Line,25.041629,121.543767
BR11,Nanjing Fuxing,BR,Brown Line,25.052319,121.544011
BR12,Zhongshan Junior High School,BR,Brown Line,25.060849,121.544227
BR13,Songshan Airport,BR,Brown Line,25.063,121.551996
BR14,Dazhi,BR,Brown Line,25.079477,121.546895
BR15,Jiannan Rd.,BR,Brown Line,25.084853,121.555592
BR16,Xihu,BR,Brown Line,25.082133,121.567213
BR17,Gangqian,BR,Brown Line,25.080028,121.575081
BR18,Wende,BR,Brown Line,25.078532,121.584761
BR19,Neihu,BR,Brown Line,25.083661,121.594408
BR20,Dahu Park,BR,Brown Line,25.083845,121.602141
BR21,Huzhou,BR,Brown Line,25.072701,121.607158
BR22,Donghu,BR,Brown Line,25.067147,121.611445
BR23,Nangang Software Park,BR,Brown Line,25.059905,121.615953
BR24,Taipei Nangang Exhibition Center,BR,Brown Line,25.055288,121.6175001
R02,Xiangshan,R,Red Line,25.03283,121.569576
R03,Taipei 101/World Trade Center,R,Red Line,25.033102,121.563292
R04,Xinyi Anhe,R,Red Line,25.033326,121.553526
R05,Daan,R,Red Line,25.032943,121.543551
R06,Daan Park,R,Red Line,25.033396,121.534882
R07,Dongmen,R,Red Line,25.033847,121.528739
R08,Chiang Kai-Shek Memorial Hall,R,Red Line,25.032729,121.51827
R09,NTU Hospital,R,Red Line,25.041256,121.51604
R10,Taipei Main Station,R,Red Line,25.046255,121.517532
R11,Zhongshan,R,Red Line,25.052685,121.520392
